,layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,6,Linear,0.05102245575411479,896,896,1.0,0.6237133749952667,1.7811345415648652,4.414990348547307,10.147227455936676,0.0,0.6598080660390446,True,301.12841796875,dense,4.904795549416949,3.362337895219127,2.4787517425092407,model.layers.0.self_attn.q_proj,896,0.033697342563629176,2303.2331106786055,896,94,36,7,1,0.08056787623566244,0.9934105303219676,301.12841796875,7.648674031547652,success,17.353052139282227,9.778142702998593e-05,over-trained,3,301.12841796875,2.6973087787628174
1,7,Linear,0.0700060901159828,128,896,7.0,0.5176260994439797,1.7316298406614232,3.461418359525204,0.49123922251303204,0.10010306463534441,0.6584986089455507,True,99.75545501708984,dense,3.8062906066849376,2.6791776377317706,1.9989366539231392,model.layers.0.self_attn.k_proj,128,0.004924434683084491,477.72463549440727,128,39,49,0,1,0.11715453565382376,0.26328411854084155,99.75545501708984,4.788957510269135,success,9.987765312194824,0.0790039598941803,over-trained,0,99.75545501708984,1.4091861248016357
2,8,Linear,0.11640392033063218,128,896,7.0,3.67120673447207,5.403874938177139,-3.246075620524775,0.11705386416033285,0.023852839905404277,0.9594840365327558,True,0.25078752636909485,dense,-2.6231495984703677,0.9775922869311368,-0.6006940681754114,model.layers.0.self_attn.v_proj,128,0.4667451601562496,9.497127903159708,128,18,20,0,1,1.0380032774275143,0.9115147448392211,0.25078752636909485,37.869219576664165,success,0.5007869005203247,0.04655119776725769,,0,0.25078752636909485,0.13730990886688232
3,9,Linear,0.05182888271394459,896,896,1.0,2.72484023709602,3.311237639624433,2.696468356609004,0.5405486817796865,0.0,0.8265138616278572,True,6.521365165710449,dense,3.0097692984685804,2.081625922074702,0.8143385193322586,model.layers.0.self_attn.o_proj,896,0.0828888841590882,120.67739371043061,896,28,56,2,1,0.43678285822986956,1.0016787357942436,6.521365165710449,18.50492813145264,success,2.553696393966675,9.74212889559567e-05,,7,6.521365165710449,1.069368600845337
4,11,Linear,0.06261849775296402,896,4864,5.428571428571429,0.6865395702061688,2.47703191632798,3.6096980683795037,3.6429696255108985,0.5810890710975456,1.0027312531987613,True,28.659425735473633,dense,4.46238677480517,3.2789768620535726,1.4572674839533837,model.layers.0.mlp.gate_proj,896,0.12711244318485274,1900.9769987016916,896,46,44,0,1,0.2177764750466137,0.9168559117728821,28.659425735473633,66.32990542963772,success,5.353449821472168,0.3713434934616089,,0,28.659425735473633,3.7628402709960938
5,12,Linear,0.05134490495181354,896,4864,5.428571428571429,0.8337715250166938,9.29840362923332,6.766805957712501,2.9887025073990925,0.47672710517532374,1.0303805414321412,True,5.342425346374512,dense,6.917310920624099,3.1102138916442708,0.7277384621633642,model.layers.0.mlp.up_proj,896,0.5594280338287352,1288.8841756433249,896,81,7,0,1,0.9220448476925911,1.0085470042008264,5.342425346374512,241.25450372797258,success,2.311368703842163,0.2913604974746704,under-trained,0,5.342425346374512,2.4071173667907715
6,13,Linear,0.045494761035617226,896,4864,5.428571428571429,0.8400701116196408,6.553376646463613,7.191784981449946,2.9696447841983122,0.4736872130514847,1.0293331469428515,True,12.514592170715332,dense,7.195267734273954,3.1036769427315454,1.0974167012559604,model.layers.0.mlp.down_proj,896,0.23729457130432144,1269.62931869179,896,127,10,0,1,0.4927824916478916,1.0129208860055887,12.514592170715332,101.45191320439316,success,3.5375969409942627,0.20772787928581238,under-trained,0,12.514592170715332,2.064819812774658
7,19,Linear,0.026058077445409722,896,896,1.0,1.3180654103576475,4.141728699612144,5.025713423251385,2.3775724057020517,0.0,0.9044099238158535,True,16.346837997436523,dense,5.122552888792308,2.7124340834519067,1.2134337586433468,model.layers.1.self_attn.q_proj,896,0.145445400882721,515.7438803190504,896,38,55,1,1,0.5096556944583845,1.0161874879836241,16.346837997436523,31.550069830014113,success,4.043122291564941,0.0003070275706704706,,2,16.346837997436523,2.910433769226074
8,20,Linear,0.08036072325128779,128,896,7.0,0.8724656864938647,5.101473512029851,3.6671950244428246,0.5208081928016531,0.10612852923253234,0.9409593821601461,True,5.234198093414307,dense,4.150147456529813,2.2257132587508472,0.7188501549199784,model.layers.1.self_attn.k_proj,128,0.09950104743970933,168.15634487196803,128,27,86,0,1,0.7893289454148513,0.45692954306834543,5.234198093414307,32.12647704020663,success,2.287837028503418,0.154561385512352,,0,5.234198093414307,2.175837755203247
9,21,Linear,0.05012817268586334,128,896,7.0,3.50035199964123,7.521635226882099,-4.120655325268912,0.15546776834927403,0.03168069516958668,0.9877100675546594,True,0.2832432985305786,dense,-4.0781468209123295,1.0189865301958378,-0.5478403566476893,model.layers.1.self_attn.v_proj,128,0.5488841895141604,10.44687817338854,128,20,2,0,1,1.4582819691765636,1.0015989979299922,0.2832432985305786,36.88305505403055,success,0.5322060585021973,0.06844537705183029,under-trained,0,0.2832432985305786,0.11779961735010147
10,22,Linear,0.021445106453122365,896,896,1.0,2.5810527509628662,3.448494960523188,2.6472758243302574,0.6180309774137913,0.0,0.8994682435371727,True,5.856811046600342,dense,2.7301690315296367,2.128714248371383,0.7676612129740872,model.layers.1.self_attn.o_proj,896,0.10552346191406245,134.49751130255427,896,106,38,1,1,0.23781885392091798,1.0145466164471184,5.856811046600342,22.964290674978326,success,2.4200849533081055,1.1216274288017303e-05,,6,5.856811046600342,0.4325743019580841
11,24,Linear,0.045488605178583996,896,4864,5.428571428571429,0.6444656800345107,3.1094128711940017,4.526706574723205,4.0334596086351695,0.6433760196292003,1.0105285741081778,True,28.563241958618164,dense,4.993668496304801,3.333908420336017,1.4558074987915544,model.layers.1.mlp.gate_proj,896,0.14121154785156262,2157.289453625679,896,401,78,0,1,0.10533905193820194,0.9056208058539308,28.563241958618164,75.52677167217627,success,5.344459056854248,0.19876551628112793,,0,28.563241958618164,2.0561959743499756
