,layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,6,Linear,0.05106531996268593,896,896,1.0,0.6237030349349842,1.7811212373574459,4.414871290648233,10.148041546904071,0.0,0.6598091668158947,True,301.09490966796875,dense,4.90478007704935,3.362352295001229,2.478703413361317,model.layers.0.self_attn.q_proj,896,0.03370379644775392,2303.3094796083305,896,94,36,7,1,0.08056650401144276,0.993433909510439,301.09490966796875,7.649778875864412,success,17.352087020874023,0.00011781868670368567,over-trained,3,301.09490966796875,2.6973419189453125
1,7,Linear,0.06999588370990162,128,896,7.0,0.5176192579161778,1.731577439942293,3.4613825708963137,0.4912364128518286,0.10010249209210241,0.6584918752000053,True,99.76460266113281,dense,3.80623779690345,2.6791891180547722,1.9989764772008516,model.layers.0.self_attn.k_proj,128,0.00492395498752594,477.7372640352696,128,39,49,0,1,0.11714614482341137,0.2632798857594416,99.76460266113281,4.788644983210972,success,9.9882230758667,0.0790305882692337,over-trained,0,99.76460266113281,1.409078598022461
2,8,Linear,0.11530575206636473,128,896,7.0,3.671438102642768,5.405848108732786,-3.248097739621051,0.11700077442403883,0.023842021458789768,0.9594956320350255,True,0.25069814920425415,dense,-2.6254162785910613,0.9775375481158546,-0.6008488722378208,model.layers.0.self_attn.v_proj,128,0.46669979333877515,9.495930953184143,128,18,21,0,1,1.0384683581876262,0.9113654456061276,0.25069814920425415,37.87794598135392,success,0.500697672367096,0.04662605747580528,,0,0.25069814920425415,0.13729488849639893
3,9,Linear,0.05181152196166727,896,896,1.0,2.724829558230914,3.3106287905294383,2.695934174402393,0.5405342553371971,0.0,0.8265258390048776,True,6.521191120147705,dense,3.0092860775534906,2.081629326150445,0.8143269285020798,model.layers.0.self_attn.o_proj,896,0.08288888415908811,120.6783396045546,896,28,56,2,1,0.4366677965662036,1.0016614434391897,6.521191120147705,18.505567063003244,success,2.5536623001098633,5.459424573928118e-05,,7,6.521191120147705,1.0692229270935059
4,11,Linear,0.062592764163098,896,4864,5.428571428571429,0.686534426838517,2.476809210708172,3.6094219906200395,3.643133762634072,0.5811152525643823,1.002735243904169,True,28.660717010498047,dense,4.462072807328339,3.278983369310121,1.4572870510232112,model.layers.0.mlp.gate_proj,896,0.12711244318485262,1901.0054822266102,896,46,44,0,1,0.21774363889438256,0.9168696974154923,28.660717010498047,66.32791083106179,success,5.353570461273193,0.3719131350517273,,0,28.660717010498047,3.762468099594116
5,12,Linear,0.05118321054007774,896,4864,5.428571428571429,0.833760280348563,9.30893204687062,6.774698102135283,2.988872697774224,0.47675425219469564,1.0303799107253786,True,5.342729568481445,dense,6.924672209046207,3.110225605957136,0.7277631921711933,model.layers.0.mlp.up_proj,896,0.5594280338287355,1288.9189414456487,896,81,7,0,1,0.9232146718745133,1.0085621172624288,5.342729568481445,241.24727350031228,success,2.311434507369995,0.29211661219596863,under-trained,0,5.342729568481445,2.407557487487793
6,13,Linear,0.045556107308523996,896,4864,5.428571428571429,0.840055867333187,6.559023160390827,7.199262223089641,2.9709801907546924,0.4739002233796385,1.0293313669244506,True,12.520219802856445,dense,7.202709147800311,3.1036916707104782,1.0976119533416413,model.layers.0.mlp.down_proj,896,0.23729457130432113,1269.6723756305873,896,127,10,0,1,0.4932835387367738,1.0131314293686642,12.520219802856445,101.40975123622957,success,3.5383923053741455,0.20815883576869965,under-trained,0,12.520219802856445,2.065274953842163
7,19,Linear,0.026313803992867146,896,896,1.0,1.3180618947995413,4.142907186401235,5.027392615063205,2.377901697409752,0.0,0.9044089583662221,True,16.349102020263672,dense,5.124079743801969,2.712436400164735,1.2134939038859531,model.layers.1.self_attn.q_proj,896,0.14544540088272093,515.7466315252028,896,38,55,1,1,0.5098468702600948,1.0162551455145201,16.349102020263672,31.54586905665936,success,4.043402194976807,0.0003434835816733539,,2,16.349102020263672,2.910815715789795
8,20,Linear,0.08040366303225582,128,896,7.0,0.8724599957073932,5.100052952735542,3.666280190881042,0.5208331967365136,0.10613362444967456,0.9409566040086833,True,5.23444938659668,dense,4.149345031227353,2.2257189242692985,0.7188710048421243,model.layers.1.self_attn.k_proj,128,0.09950104743970933,168.1585385426879,128,27,86,0,1,0.789055558651195,0.45693753103915447,5.23444938659668,32.12535380956673,success,2.2878918647766113,0.15475493669509888,,0,5.23444938659668,2.1757278442382812
9,21,Linear,0.04831135681954679,128,896,7.0,3.500250174960803,7.537476665340557,-4.131494536921782,0.1553954979061575,0.031665968143512684,0.9877151610723091,True,0.2830564081668854,dense,-4.089253362845746,1.0190117976775381,-0.5481270085942102,model.layers.1.self_attn.v_proj,128,0.5489912731971744,10.44748599594459,128,20,2,0,1,1.4618242225020128,1.0013370406101127,0.2830564081668854,36.9095547548421,success,0.532030463218689,0.06842492520809174,under-trained,0,0.2830564081668854,0.11786120384931564
10,22,Linear,0.02149833929559053,896,896,1.0,2.5810108550539126,3.4495548304076222,2.6481588451680946,0.6180596080756743,0.0,0.8994737163308951,True,5.857082366943359,dense,2.730945068834046,2.1287283475096053,0.7676813314647822,model.layers.1.self_attn.o_proj,896,0.10552346191406244,134.50187776324606,896,106,38,1,1,0.23792179758438692,1.0145536473156875,5.857082366943359,22.96397239047855,success,2.4201409816741943,3.6874589568469673e-05,,6,5.857082366943359,0.432648241519928
11,24,Linear,0.04546525180182215,896,4864,5.428571428571429,0.6444656281984154,3.111721454533268,4.530074195775962,4.0334798091091235,0.6433792418011786,1.0105292962190162,True,28.563385009765625,dense,4.99616067433212,3.333908490198949,1.4558096738306656,model.layers.1.mlp.gate_proj,896,0.14121154785156256,2157.289800658822,896,397,78,0,1,0.10598426171761999,0.905623000785869,28.563385009765625,75.52640556857178,success,5.344472408294678,0.19876079261302948,,0,28.563385009765625,2.0671000480651855
12,25,Linear,0.05055604147230541,896,4864,5.428571428571429,0.9110627919287327,12.688180504108585,7.075326345454523,2.4532626500980155,0.3913192425544405,1.030045725499341,True,3.6110315322875977,dense,7.293196698050759,3.0332113890896033,0.5576312807942359,model.layers.1.mlp.up_proj,896,0.6793800132074359,1079.4720180630684,896,37,12,0,1,1.9215250383176719,0.9984540305293863,3.6110315322875977,298.93730043925154,success,1.9002714157104492,0.17792236804962158,under-trained,0,3.6110315322875977,2.322514772415161
13,26,Linear,0.017994886738307847,896,4864,5.428571428571429,0.9117947245067622,5.472650571555825,6.17734494489504,2.352474250145561,0.37524251292824556,1.021849725888168,True,13.451371192932129,dense,6.18974886806242,3.032513859427563,1.1287665572879573,model.layers.1.mlp.down_proj,896,0.17488731939697286,1077.739646524191,896,132,39,0,1,0.38929426370267506,0.9785144762247091,13.451371192932129,80.12117360128141,success,3.6676111221313477,0.3119252920150757,,0,13.451371192932129,1.881394863128662
14,32,Linear,0.06607937090038674,896,896,1.0,1.4474108039028617,2.545779803275611,2.5442754172926385,1.937145478497767,0.0,0.9002177575269797,True,9.98640251159668,dense,3.3447427417075555,2.6311243896526175,0.9994090667303446,model.layers.2.self_attn.q_proj,896,0.1939783096313475,427.6853652948921,896,109,48,0,1,0.14805885267413604,1.0072631199760322,9.98640251159668,42.82677018057742,success,3.1601269245147705,0.0007212196360342205,,1,9.98640251159668,1.0894898176193237
15,33,Linear,0.08527383399649968,128,896,7.0,1.1466854436295244,7.330521430714038,3.9756052652160654,0.47463268667198016,0.09671904101817103,0.9292574531818993,True,3.4860687255859375,dense,4.17090691986644,1.9883213706919431,0.542335944692657,model.layers.2.self_attn.k_proj,128,0.13615127068161975,97.34673069324344,128,10,63,0,1,2.001886649756417,0.5733041699452653,3.4860687255859375,27.924501309675538,success,1.8671016693115234,0.09289465844631195,under-trained,0,3.4860687255859375,2.022054672241211
16,34,Linear,0.12006446586239433,128,896,7.0,2.344512195644307,6.256926637165649,-2.793183218801064,0.34960894717462454,0.07124212691544132,0.9882769920879693,True,0.35775476694107056,dense,-1.7488234638310798,1.3671049772748434,-0.4464145707270686,model.layers.2.self_attn.v_proj,128,0.9772307163476937,23.28654069826007,128,41,0,0,1,0.8209940088985788,1.0060179849324906,0.35775476694107056,65.09079081564225,success,0.5981260538101196,0.23086264729499817,under-trained,0,0.35775476694107056,0.22388005256652832
